,eps_model,bidder_type,seed,tvc,cpc_percent,cpc_avg
264,0.0005,risky_1.0,2,1.1573279482186318,0.0,614.0481049722698
265,0.0005,simple,3,1.1499229055517985,0.0,609.2559395551067
266,0.0005,robust,3,1.5729614690798321,0.0,386.91764946914026
267,0.0005,risky_0.1,3,1.1423731765078085,0.0,614.7367203564019
268,0.0005,risky_0.0,3,1.148305285446409,0.0,610.1618705034065
269,0.0005,risky_1.0,3,1.148551811823788,0.0,613.0604730593808
270,0.0005,simple,4,1.1531752912282784,0.0,607.8369608626915
271,0.0005,robust,4,1.5707568999051895,0.0,386.8905758110123
272,0.0005,risky_0.1,4,1.1421838802275477,0.0,614.9524437742836
273,0.0005,risky_0.0,4,1.160980239822223,0.0,608.5170327865419
274,0.0005,risky_1.0,4,1.1571645068556224,0.0,613.8672533774411
275,0.0005,simple,5,1.1536656176478228,0.0,607.3293503696444
276,0.0005,robust,5,1.5715666521454725,0.0,386.54644144163626
277,0.0005,risky_0.1,5,1.148378276971623,0.0,612.6411760732153
278,0.0005,risky_0.0,5,1.1550365043026205,0.0,607.9980447774924
279,0.0005,risky_1.0,5,1.1511846130602916,0.0,613.2955418112747
280,0.0005,simple,6,1.1530871675128316,0.0,606.8757390160914
281,0.0005,robust,6,1.5785662128508393,0.0,387.4606551038939
282,0.0005,risky_0.1,6,1.1458866065514985,0.0,614.7670223203368
283,0.0005,risky_0.0,6,1.1527249680814535,0.0,609.2906831264476
284,0.0005,risky_1.0,6,1.1542090161317786,0.0,614.7364068913103
285,0.0005,simple,7,1.1601207974498189,0.0,608.3239571057054
286,0.0005,robust,7,1.5715017447527333,0.0,387.01122029071337
287,0.0005,risky_0.1,7,1.1451561403083113,0.0,614.8446504964656
288,0.0005,risky_0.0,7,1.1591574931801838,0.0,609.7511776771553
289,0.0005,risky_1.0,7,1.1560747687591677,0.0,612.7183575097002
290,0.0005,simple,8,1.1554552033305827,0.0,607.0987194874035
291,0.0005,robust,8,1.577420769867413,0.0,387.6459165623058
292,0.0005,risky_0.1,8,1.14583625077176,0.0,613.7165976044566
293,0.0005,risky_0.0,8,1.1584144407055565,0.0,609.0827475319223
294,0.0005,risky_1.0,8,1.1483677921444457,0.0,611.193104236398
295,0.0005,simple,9,1.1473959403022245,0.0,608.5395320431936
296,0.0005,robust,9,1.5756710355969827,0.0,386.7382377835807
297,0.0005,risky_0.1,9,1.1458403832468542,0.0,613.8417056249658
298,0.0005,risky_0.0,9,1.1505836205731874,0.0,609.4363919107783
299,0.0005,risky_1.0,9,1.1569287910066945,0.0,612.9552100966724
300,1e-12,simple,0,1.1650046795822964,0.0,599.2316300645053
301,1e-12,robust,0,1.1650046795822964,0.0,599.2343134306276
302,1e-12,risky_0.1,0,1.1565653520495212,0.0,602.4864312926546
303,1e-12,risky_0.0,0,1.160581125799582,0.0,598.3566882833641
304,1e-12,risky_1.0,0,1.1556852178810062,0.0,601.4677806966927
305,1e-12,simple,1,1.1650046795822964,0.0,599.2315993983209
306,1e-12,robust,1,1.1650046795822964,0.0,599.2342827208547
307,1e-12,risky_0.1,1,1.1565653520495212,0.0,602.4864086315374
308,1e-12,risky_0.0,1,1.160581125799582,0.0,598.3566592405954
